id,question,correctanswer,answera,answerb,answerc,answerd
100058,person experiences flight fight response danger explains takes place human result,a,heart muscle contracts faster increasing blood flow through vessels,heart valves close increasing blood volume stored chambers,breathing slows down allowing blood absorb oxygen efficiently,blood vessels relax dilate letting flow though them quickly
100059,practices support claim experiment led scientific discovery,b,reporting sharing data researchers,having successfully replicate experiment results,keeping complete detailed accurate records experiment,being willing publish results experiment so could study them
100060,student adds detergent cup the mixture shaken allowed settle observes silt particles stay suspended long after form layers bottom jar explanation,c,organic,dissolving,less dense,moving faster
100061,low immediately lose ability,a,remain rigid,absorb sunlight,release oxygen,reproduce again
100062,female opossum give birth offspring increases larger litter,d,rate mature,number reliable sources,maternal care per offspring,likelihood some survive reproduce
100063,four students investigating effect force baseball bat on ball marked points where each balls made contact after strike describes error experimental design,d,failure conduct enough trials,considering spin ball,using balls masses,failure define testable variable
100064,trees environment located,d,releasing nitrogen,crowding out non native,adding dioxide atmosphere,removing returning atmosphere
100065,moving gases out entire organism involves,d,digestive,nervous,excretory,respiratory
100066,blood pressure often indicator cardiovascular health measured units,b,cmhg,mmhg,g cm ^,g mm ^
100067,characteristic object small volume large,a,high density,low pressure,low viscosity,high
100068,frost wedging occurs rocks broken smaller pieces freezing expanding cracks rock considered part step cycle,a,weathering,transportation,deposition,lithification
100069,clearing forests trees vegetation human development major impacts ecosystem occur after forested area cleared,c,habitat wildlife,decrease competition,erosion,decrease runoff
100070,relationship force mass represented equation = x acceleration if object increases no,c,increase,not,decrease,direction
100071,plant grows red flowers crossed kind white their offspring grew pink explains why,c,offspring experienced genetic mutation,offspring resulted asexual reproduction,genes flower color exhibited incomplete dominance,gene pink colored flowers recessive parents
100072,fossil records show began evolving earliest life forms type organism first seen record,b,multi celled,single celled,fungi,viruses
100073,modern technology had some positive negative effects society effect advances,a,human jobs replaced efficient machines,decrease production solid waste,alternate sources,reduction habitat destruction
100074,lifting weight arm requires,c,flexion muscle groups,extension muscle groups,both flexion extension muscle groups,neither flexion extension muscle groups
100075,when atom neutral charge particles within equal numbers,b,electrons neutrons,protons electrons,neutrons protons,ions neutrons
100076,extinction likely organisms less genetic variation face,a,reproduce asexually,large size,primary producers,reproduce sexually
100077,organ directly works protect human disease,d,heart,kidney,pancreas,skin
100078,when unequal forces act opposite directions moving object,d,absorb forces,come immediate stop,continue move direction,move direction larger force
100079,formed sodium atom chlorine react chemically,b,element,compound,electron,neutron
100080,electric circuits provide lightbulbs prevents flow electrons,c,circuit closed,series circuit,circuit open,parallel circuit
100081,scientists conducting research medicine promising evidence helpful work maintain accurate records throughout study why important,d,records help prove worked hard complete research,records possibility drug sold major pharmacies,records should correct so paid,records help prove validity work
100082,functions carbohydrate lipid similar,a,both source,both replicated during meiosis,both lower activation reactions,both dissolve nutrients digestive
100083,causes free falling object accelerate,b,inertia,gravity,initial speed,initial direction
100084,correctly describes reactants,b,substances formed during,substances present before takes place,symbol separates substances present before after,substances written right hand side reaction equation
100085,greatest known explosion event history where many appeared first,a,cambrian explosion,permian explosion,cretaceous tertiary explosion,asteroid explosion
100086,part atom involved reactions,b,nucleus particles,negatively charged particles,neutrally charged particles,positively charged particles
100087,result formation compound,c,mixing coloring,mixing iron filings nails,combining sodium chlorine form chloride,melting solid form liquid
100088,constant motion occurs no change speed direction while accelerated measure rate object,c,distance,speed,velocity,direction
100089,flower petals hydrangea color acidity changes directly related factor,d,gravitropism,photosynthesis,geographic location,environmental conditions
100090,function mitochondria,a,release growth development movement,attach carbohydrates lipids proteins,make rich molecules,assemble proteins
100091,central vacuole largest plant organelle store wastes causes some taste bitter animals try eat vacuoles specifically within organism,b,tissues,cells,organ systems,organs
100092,difference atomic number element,d,ions,protons,electrons,neutrons
100093,type event might cause dramatic history life,d,blizzard,flood,earthquake,asteroid impact
100094,inside special molecules carry messages membrane nucleus uses similar,a,endocrine,lymphatic,excretory,integumentary
100095,when methane burned oxygen dioxide vapor products since reactants gases invisible clues tells you reaction taken place,d,elements rearranged,elements produced,heat absorbed,heat produced
100096,why competition among males during mating season important some animal,a,ensures genes fittest animals passed,allows females distinguish adult juvenile males,provides ways communication,speeds reproduction
100097,short thick fleshy stem extensive roots blooming period environments,b,prairie,desert,coniferous forest,deciduous forest
100098,fossil evidence tell us about except,d,biological diversity kinds lived,episodic speciation species suddenly appearing after millions years without changes,extinction sudden disappearance evidence organism,mutation rate fast mutations occur within
100099,primary reason providing detailed accurate records scientific investigations,d,make reports longer,so results published,demonstrate professionalism,so experiments replicated
100100,half volcanic formation seen pinnacles national park california on side san andreas fault other miles southeast line this evidence theories,b,earthquakes result volcanic activity,crust made rocky plates shift over,formations may move hundreds miles earthquake,earth current landforms were created surface cooled
100101,margaret running full lap around circular track she facing north starts direction after completed half,b,north,south,east,west
100102,paleontologists find study fossilized determine history evolution life paleontologist,d,ancient life forms younger layers sedimentary,recently evolved undisturbed sedimentary layers,ancient life forms overturned sedimentary layers,recently evolved younger layers sedimentary
100103,students learning about types waves least way generate wave,a,tossing ball air,shaking ends rope,throwing pebble pool,pulling coiled spring toy
100104,if classified orders but class statements true,b,genus,phylum,kingdoms,members
100105,order cellular respiration occur oxygen necessary,b,dioxide,glucose,water,atp
100106,type evidence geologist need support plate tectonic theory,c,fossils similar size,weathering erosion coastlines,crust formed sea floor spreading,rocks physical appearances
100107,an athlete running race needs energy organelle s supply cellular functions,b,golgi apparatus,mitochondrion,ribosome,nucleus
100108,type galaxy shapes range flattened spheres rounded elongated,b,irregular galaxy,elliptical galaxy,spiral galaxy,eclipse galaxy
100109,acid rain affect forests,d,top loses nutrients,begin grow deeper roots,animals sources,trees become less healthy over
100110,water cycle describes movement earth about salt found oceans while remaining fresh where majority freshwater,c,groundwater aquifers,swamps wetlands,ice caps glaciers,lakes rivers
100111,condition required hardy weinberg equilibrium no gene flow occur why highly unlikely happen nature,c,mating always occur nature,continuously die removing genes population,migration add remove genes population,selection eliminate certain genes
100112,when trees removed area tropical rainforest experiences soil erosion explains why removing lead,b,less bedrock available make,there fewer roots hold place,number eating insects area,solar radiation reaching ground
100113,when finger cut bleeds platelets plasma proteins move stop bleeding as stimulates type mechanism being illustrated,b,negative feedback,positive feedback,regulatory feedback,stimulation feedback
100114,choices contain element,c,metal rod,table salt,lily,distilled
100115,scientist crosses red flowered plant white offspring flowers result if crossed,c,offspring red flowers,offspring white flowers,offspring either red white flowers,offspring neither red nor white flowers
100116,girl long hair going participating experiment uses alcohol burner source thing her do prepare,c,leave her large jacket locker day,goggles during experiment,tie her hair back away face,wear lab apron during experiment
100117,happens crops rotated year,a,nutrients depleted,fertility increases,becomes porous,erodes less rapidly
100118,nervous controls coordinates functions__________,d,throughout brain,through spinal cord,throughout both brain spinal cord,through whole responding both internal external stimuli
100119,processes could result formation high mountains well rounded peaks,c,volcanic eruptions global warming,earthquakes tidal activity,collision crustal plates erosion,production greenhouse gases weathering
100120,type energy gasoline transformed mechanical motorcycle engine,a,chemical,nuclear,magnetic,electrical
100121,processes cycle primarily responsible creation lake,c,evaporation runoff,evaporation condensation,precipitation runoff,precipitation condensation
100122,explains many insect populations able survive repeated attempts eradicate them insecticides,b,cockroach populations good finding sources,cockroach populations genetically able adapt quickly,cockroach populations leave being poisoned,cockroach populations know stay away poisoned areas
100123,in tropical rainforest difference between daytime nighttime temperatures relatively small desert very large factor contributes lower variation,d,foliage rainforest reflects heat,rainforest absorb moisture,solar radiation rainforest less intense,cloud cover rainforest helps retain heat
100124,ribosomes sites processes,d,nucleotide synthesis,transcription,lipid synthesis,translation
100125,chlorophyll pigment within chloroplast cell if find sample know came n,a,plant,animal,human,bacteria
100126,occurs if renal fails work,c,gas exchange impaired,blood oxygenation no longer occurs,metabolic waste builds up blood,nutrients no longer transported organs
100127,17th century galileo proposed hypothesis explain how suction pumps work disproved but later helped torricelli development instrument measuring atmospheric pressure did help technology,d,leading galileo design technology,allowing another scientist critique galileo hypothesis,providing evidence effects atmospheric pressure,inspiring another scientist test alternative hypothesis
100128,drought affect grassy plain,a,there shorter,thicker stems,there greater variety,brighter flowers
100129,favorable variations reproduce higher rates those without such,b,disruptive selection,natural selection,sexual selection,directional selection
100130,phase atmosphere forms clouds,c,evaporation,freezing,condensation,melting
100131,relationship exists dog fleas,d,commensalism,gradualism,mutualism,parasitism
100132,volcanic island arc type plate boundary,b,divergent oceanic,convergent oceanic,divergent continental oceanic,convergent continental oceanic
100133,information protein synthesis carried out nucleus ribosome,c,rrna,trna,mrna,dna
100134,complementary base adenine dna,b,cytosine,thymine,guanine,uracil
100135,meteoroid becomes meteorite,a,impacts surface planet,encounters atmosphere planet,makes complete orbit around planet,starts burn up atmosphere planet
100136,pure substances combine make new substance cannot physically separated boiling point original this classified,d,atom,mixture,element,compound
100137,when investigating reaction expect products,c,properties reactants separately,mixture properties reactants,properties reactants separately,properties reactants
100138,statements about thermal true,d,as you hold cup hot water your hands cool,as you hold glass cold milk travels your hand,as you hold cup cold milk your hand cools,as you hold cup hot heat moves your hand
100139,technology generate electrical power involves trade off economical electricity long term waste disposal problems,b,fossil fuel,nuclear reactor,solar collector,wind turbine
100140,sooj learned whales vocalization navigate communicate some think noise pollution whale habitats may harm populations effect,d,alteration whale genetic material,reversed flow through whale habitats,reduced populations whale habitats,separation whale family groups
100141,measurement tool find volume small piece granite,c,thermometer,metric ruler,graduated cylinder,triple beam balance
100142,barometer measure,c,wind speed,temperature,atmospheric pressure,humidity
100143,atomic model includes nucleus positive charge,c,spread evenly throughout model,located multiple sites model,concentrated center model,positioned outside center model
100144,fruit flies traits yellow white eyes always inherited together conclusion drawn phenomenon,c,traits controlled gene,both traits dominant,genes traits adjacent genome,allele trait
100145,human activities contribute extinction,c,hunting,habitat destruction,restoration ecology,introduced nonnative
100146,repeating experiments improves likelihood accurate results because overall,d,less prove hypothesis correct,prove hypothesis correct,less correct due fewer errors being made,correct due fewer errors being made
100147,heart chambers responsible contractions generate pressure forces blood rest,c,left atrium,right atrium,left ventricle,right ventricle
100148,involves formation substance,d,evaporation gasoline,mixing salt pepper,dissolving sugar tea,rusting iron chain
100149,when blue shone yellow banana color appear,d,blue,yellow,green,black
100150,fold observed layers sedimentary resulted,b,cooling flowing magma,converging crustal plates,deposition river sediments,solution carbonate minerals
100151,describes benefit having control group scientific experiment,a,variables may cause changes eliminated,number subjects needed experimental group small,changes may occur control group easily explained,number variables needed group easily determined
100152,trees narrow tubes transport water upward property allows rise,c,high vapor pressure,high boiling point,cohesion molecules,net charge molecules
100153,property ice allows fish survive ponds air temperatures below ° c,a,ice floats insulating warmer liquid below,ice sinks leaving large liquid fish move,ice slows fish metabolism until warm spring temperatures them,ice allows oxygen enter temperatures below freezing
100154,formation himalayan mountains example land features caused compressive forces action led,c,seafloor spreading,strike slip faulting,colliding plates,hot spots
100155,region milky way contains population consists mostly old stars,a,halo,spiral arms,nuclear bulge,open clusters
100156,you roasting marshmallows your family burn marshmallow notice black substance dad tells form products reaction,c,marshmallow,oxygen,carbon,fire
100157,as populations size individual start exhibit various symptoms including aggression lack caring young decreased fertility increased susceptibility disease,d,decrease,stay,shift,increase
100158,students make weather observations outside school building then record observation should recorded fact,b,air feels very cold,wind blowing m s,nicer day before,looks like might warm up later
100159,order succession natural communities occur york state,d,grasses > trees bushes,trees > bushes grasses,bushes > grasses trees,grasses > bushes trees
100160,composite material,d,glass window,bronze statue,aluminum,fiberglass bumper
100161,many school districts placing dispensers hand sanitizer classrooms computer labs purpose practice,d,conserve resources,control noninfectious diseases,promote safe technology,limit diseases spread contact
100162,prior experiments hershey chase many remained unconvinced about exact location genetic material living things this mainly because chromosomes composed both dna,b,rna,protein,mitochondrial dna,chromatids
100163,improvements farming technology,a,produced,global climate conditions,promote unhealthy dietary choices,decrease daily exercise
100164,when northern hemisphere tilted toward season occurring australia,b,fall,winter,spring,summer
100165,stars generate large amounts energy nuclei small mass undergo fusion form larger four basic forces universe responsible released during,b,weak force,strong force,gravitational force,electromagnetic force
100166,describes objects orbiting kuiper belt,d,metallic,rocky,hot,icy
100167,an air valley travels up mountainside causes movement,c,tidal pull moon gravity,evaporation valley,warming solar re radiated ground,cooling effect ice crystals air over mountain
100168,characteristic viruses distinguishes them,c,do hereditary material,separated environments,lack independent metabolism,their traits do evolve response selection pressures
100169,make insulator against flow electricity,c,copper wire,steel tubing,plastic tape,aluminum foil
100170,birds do receive adequate nutrition during development sing less often shorter periods adult describes outcome nutritional stress songbirds,d,less ward off predators,less obtain good nesting sites,less find adequate supplies,less attract mates pass genes
100171,where smallest negatively charged particle atom,c,nucleus,orbits nucleus,orbits around nucleus,proton neutron
100172,greenhouse gases atmosphere trap heat near surface gas,c,nitrogen,argon,vapor,oxygen
100173,during photosynthesis absorb energy convert form glucose compounds combine presence sunlight,c,dioxide co2 hydrogen h2,oxygen o2 dioxide co2,dioxide co2 h2o,oxygen o2 h2o
100174,garrett collected some large rocks stream near his home he measured balance when records units should,b,pounds,kilograms,fluid ounces,cubic centimeters
100175,continuous changing earth surface evidence supports nebular hypothesis continues because,a,layered structure,atmospheric gases,vast oceans,continental displacement
100176,simple machines reduce amount effort needed do work known levers lever systems input always,b,twice output work,greater output work,less output work,equal output work
100177,human stomach helps break down digestion describes,d,part specific function,single performs life function,made up small number perform single function,composed millions several types working together perform function
100178,helped lead invention personal computers,d,internet,keyboard,wireless transmitter,integrated circuit
100179,student long wires connect lightbulb battery noticed soon circuit was complete nearby compass started point direction north pointed because reacting,d,heat produced lightbulb,produced lightbulb,electric field produced battery,magnetic field produced electric current
100180,drug company ready start clinical trials antibiotic group investigators represent unbiased,a,independent research lab,who stand gain financially drug,who work pharmaceutical company produce drug,parent company drug receives funds
100181,device converts electricity many handheld calculators,d,battery,photocell,photo generator,photovoltaic
100182,geologist conducts investigation determine absolute age fossil she then repeats procedure three times explains why repeated several,b,helps her develop better procedures,improves accuracy results,she wants results,she hypothesis prove
100183,materials must pass through semi permeable membrane order utilized this called,a,diffusion,oxidation,respiration,reproduction
100184,describes muscles work allow person extend arm curled position straightening elbow,c,both biceps triceps contract,both biceps triceps relax,triceps contract biceps relax,biceps contract triceps relax
100185,many landforms on earth were produced tectonic activity conditions cause should similar effect other rocky planets observation supports theory about,c,planets rates tectonic activity equal,farther planets less heat receive drive tectonic processes,tectonic activity smaller planets stopped long ago because bodies lose heat quickly,planets rapid rates rotation tectonic activity due rotational stresses affect hard crust
100186,changes alter form substance but necessarily another,d,physical,temperature,pressure,above
100187,prior fossil formation unknown robert hooke observed fossils under microscope saw characteristics fossilized plant were similar living from observation he concluded some had been mineral rich being deposited this information support conclusion,b,robert hooke discovery delayed advancements science,evidence about fossils existing theories,prior fossils were much common,form fossils
100188,helps keep moon orbit,b,friction,gravity,longitude,latitude
100189,sperm egg necessary components,c,asexual reproduction,budding,sexual reproduction,mitosis
100190,whitetail deer females seldom grow antlers explains why male but,c,female deer no need antlers,male deer older female,antler growth controlled genes,antler growth depends behavior
100191,to initiate formation planetesimal must occur solar nebula,a,matter must become unevenly distributed create region increased gravity,particles must fuse larger particle nuclei,gases must decrease enough condense solid phase,materials must exposed strong magnetic field generate magnetosphere
100192,an inherited trait,c,determined single gene,determined multiple genes,determined genes,determined genes
100193,minerals contain elements dated using radioactive dating usually formed during,a,igneous formation,sedimentary formation,layering,weathering events
100194,reason cells animal contain cell wall walls composed primarily,a,cellulose,glucose,phospholipid bilayer,chlorophyll
100195,acid rain ph below this damage lakes crops buildings caused except,d,industrial emissions factories,coal burned produce heat power,automobile exhaust,nuclear power produce radiation
100196,black box white poorly lit room why easier eye detect,b,black box refracts light white absorbs,black box absorbs light white reflects,black box reflects light white absorbs,black box absorbs light white refracts
100197,eye color human beings,c,instinct,acquired trait,inherited trait,environmentally influenced trait
100198,newton work physics helped provide mathematical explanations earlier conclusions scientist,c,ptolemy,aristotle,nicolas copernicus,dmitri mendeleev
100199,overuse farming causes local disruptions several subsystems part biogeochemical cycle experiences severe disruption,c,release atmosphere,release oxygen atmosphere,cycling phosphorus,cycling hydrogen
100200,signal brain muscle arm transmitted structures,b,sensory neurons,interneurons,motor neurons,mechanoreceptor neurons
100201,structure located,a,milky way galaxy,andromeda galaxy,cat eye nebula,horseshoe nebula
100202,nucleus control function because contains,b,cytoplasm,genetic material,nuclear envelope,membrane
100203,explains object seen human eye,a,light reflected object detected receptors eye,light receptors eye detect infrared send image brain,light receptors eye reflect specific wavelength onto object,light detected receptors eye if object black white
100204,astronomers know planets closer stars,a,observing movements planets,observing surfaces planets,observing orbits comets,observing star motion
100205,geologic led uplifting rocky mountains,c,glaciation,flooding,faulting,erosion
100206,useful calculating density sample,b,microscope balance,graduated cylinder balance,microscope graduated cylinder,beaker graduated cylinder
100207,when transverse wave passes right left through medium happens particles,d,particles travel right left along wave,particles travel left right along wave,particles move back forth parallel wave,particles move back forth perpendicular wave
100208,part electromagnetic spectrum humans sense without using equipment technology,b,radio waves,visible,microwaves,x rays
100209,parachute sufficiently air resistance allow parachutist land safely,d,decreasing force gravity acting parachutist,decreasing total parachutist,increasing surrounding air pressure around parachute,increasing total surface area parachute
100210,greatest impact humans had cycle,c,clear cutting forests,manufacturing plastics,burning fossil fuels,growing agricultural crops
100211,layers sedimentary rock exposed side hill one fossils lack layer due,a,changing environments,volcanic activity,changing rates erosion,evaporation sea
100212,an appliance manufacturer has redesigned original electrical fan made new efficient this means,d,converts electricity heat,spins slower rate original fan,requires electricity original fan,reduces percentage heat lost atmosphere
100213,paleontologists who study evidence past life method do determine forms existed millions years ago,d,examine current animals,research past library,interview older,examine fossils records
100214,vampire finches galápagos islands peck another bird blue footed booby until make wound then drink blood think many generations ago bugs off behavior evolved today describes birds relationship,b,old relationship parasitic mutualistic,old relationship mutualistic parasitic,both relationships parasitic,both relationships mutualistic
100215,when dog smells begins drooling responding external stimulus describes response internal,c,cat sees mouse crouches,parrot hears name repeats,person eats spoiled vomits,worm senses moves surface
100216,shoulder joint similar type mechanical device,b,sliding joint,ball socket,hinge,antagonistic
100217,allele pairings below belongs individual homozygous recessive genotype,c,aa,aa,aa,ab
100218,objects solar generate created reactions deep inside core,a,stars,planets,moons,asteroids
100219,an element identified,a,number protons,atomic,type charge,number isotopes
100220,affects development sea turtle eggs incubated warmer temperatures more likely become females cooler males higher atmospheric dioxide concentrations affect populations,a,climate would warmer so percentage female turtles,climate would cooler so percentage female turtles,climate would warmer so percentage female turtles decrease,climate would cooler so percentage female turtles decrease
100221,causes difference appearance comets asteroids,b,comets rotate revolve move,comets high ice dust content,comets come near orbits,comets influenced magnetic field
100222,are relationships among community always cooperative,c,yes communities cooperate ensure survival individuals community,yes communities work together ensure survival populations community,no communities include prey another,no communities composed compete another
100223,event occur if number nitrogen fixing bacteria were reduced within ecosystem,d,nitrates take up,animals decompose faster,high levels ammonia accumulate,level nitrogen gas atmosphere
100224,student mixes granular fertilizer water action perform makes effective,a,separates ions fertilizer,neutralizes ph fertilizer,limits absorption fertilizer specific parts,creates large organic molecules smaller components fertilizer
100225,after months studying obtaining data behavior birds biologists around world look,a,come up several possible interpretations,reject do own investigations,data fit expectations,publish own interpretations science journal
100226,discovered shining rays certain wavelength destroy bacteria growing discovery benefit people,b,people will drink because taste better,people will stay healthier because drinking safer,people will stay healthier because nutrition,people will stronger because add
100227,paige mixed liquid substance solid together her chemistry lab could she tell mixture resulted physical change,d,substances formed had boiling points,she observed gas substance bubbling out mixture,third substance floated top mixture,she able separate substances evaporating liquid
100228,boundary convergent tectonic plates exhibits geological features describes difference,a,under ocean trench will form continent mountains,under ocean trench will form continent rift valley,under ocean will sea floor spreading continent rift form,under ocean will sea floor spreading continent fault form
100229,common element star such,d,helium,oxygen,nitrogen,hydrogen
100230,disease result abnormal division,b,aids,cancer,chicken pox,common cold
100231,fossils cockroaches centimeters length date back paleozoic era been today much smaller because,a,environmental conditions changed,effects human pollution,many natural predators,mutations destroyed genes control length
100232,perpetual motion machine theoretical device once started continues operate without any additional input describes why impossible design,b,converted,friction reduces efficiency,remains constant,potential energy converted kinetic
100233,warm water contains less dissolved oxygen colder population affected long period hot dry days,a,fish ponds,fish oceans,lakes,streams
100234,endosymbiotic theory eukaryote evolution states organelles eukaryotic derived bacteria strongest evidence support,a,eukaryote organelles contain dna similar bacterial,eukaryote organelles stop functioning outside,eukaryote organelles similar size shape bacteria,eukaryote organelles reproduce through sexual reproduction
100235,describes proton,c,negatively charged negligible,negatively charged part nucleus,positively charged part nucleus,negatively charged orbits nucleus
100236,when oxygen combine chemically product,b,greater mass plus oxygen,equal mass plus oxygen,equal,less
100237,why seals able live off coast antarctica while frogs snakes panthers,c,seals swim,seals predators,seals fur blubber,seals warm blooded animals
100238,planning conducting scientific investigation researcher starting point should,b,formulating conclusion,formulating hypothesis,analyzing experimental data,making experimental measurements
100239,nuclear fusions occur within star core responsible,a,production visible,creation elements,gravitational compression,star
100240,vein deposits gold silver often formed areas experienced geologic,a,igneous intrusion,transport,weathering,compaction pressure
100241,k t boundary geologic stratum separates cretaceous period ended sixty five million years ago extinction dinosaurs tertiary student reads statement:despite fact iridium much less abundant earth gold clay located contains least twice goldhow support theory asteroid impacted about,c,supporting hypothesis asteroid impact climate,providing evidence iridium toxic,providing evidence iridium came source outside,supporting hypothesis asteroid impact alter landmass
